Categorization System,,,,,
0 North America,,,,,
,00 Americana,,,,
,,,,012.45 Sous Vide,
,,,012.5 Belly,,
,,,,012.50 Oven,
,,,,012.51 Stovetop,
,,,,012.52 Grill,
,,,,012.53 Pressure Cook,
,,,,012.54 Slow Cooker,
,,,,012.55 Sous Vide,
,,013 Fish,,,
,,,013.0 Salmon,,
,,,,013.00 Oven,
,,,,013.01 Stovetop,
,,,,013.02 Grill,
,,,,013.03 Pressure Cook,
,,,,013.04 Slow Cooker,
,,,,013.05 Sous Vide,
,,,,013.06 Raw,
,,,013.1 Tuna,,
,,,,013.10 Oven,
,,,,013.11 Stovetop,
,,,,013.12 Grill,
,,,,013.13 Pressure Cook,
,,,,013.14 Slow Cooker,
,,,,013.15 Sous Vide,
,,,,013.16 Raw,
,,,013.2 Cod,,
,,,,013.20 Oven,
,,,,013.21 Stovetop,
,,,,013.22 Grill,
,,,,013.23 Pressure Cook,
,,,,013.24 Slow Cooker,
,,,,013.25 Sous Vide,
,,,,013.26 Raw,
,,,013.3 Tilapia,,
,,,,013.30 Oven,
,,,,013.31 Stovetop,
,,,,013.32 Grill,
,,,,013.33 Pressure Cook,
,,,,013.34 Slow Cooker,
,,,,013.35 Sous Vide,
,,,,013.36 Raw,
,,,013.4 Swordfish,,
,,,,013.40 Oven,
,,,,013.41 Stovetop,
,,,,013.42 Grill,
,,,,013.43 Pressure Cook,
,,,,013.44 Slow Cooker,
,,,,013.45 Sous Vide,
,,,,013.46 Raw,
,,,013.5 Trout,,
,,,,013.50 Oven,
,,,,013.51 Stovetop,
,,,,013.52 Grill,
,,,,013.53 Pressure Cook,
,,,,013.54 Slow Cooker,
,,,,013.55 Sous Vide,
,,,,013.56 Raw,
,,014 Shelfish,,,
,,,014.0 Shrimp,,
,,,,014.00 Oven,
,,,,014.01 Stovetop,
,,,,014.02 Grill,
,,,,014.03 Pressure Cook,
,,,,014.04 Slow Cooker,
,,,,014.05 Sous Vide,
,,,,014.06 Raw,
,,,014.1 Crab,,
,,,,014.10 Oven,
,,,,014.11 Stovetop,
,,,,014.12 Grill,
,,,,014.13 Pressure Cook,
,,,,014.14 Slow Cooker,
,,,,014.15 Sous Vide,
,,,,014.16 Raw,
,,,014.2 Clam,,
,,,,014.20 Oven,
,,,,014.21 Stovetop,
,,,,014.22 Grill,
,,,,014.23 Pressure Cook,
,,,,014.24 Slow Cooker,
,,,,014.25 Sous Vide,
,,,,014.26 Raw,
,,,014.3 Lobster,,
,,,,014.30 Oven,
,,,,014.31 Stovetop,
,,,,014.32 Grill,
,,,,014.33 Pressure Cook,
,,,,014.34 Slow Cooker,
,,,,014.35 Sous Vide,
,,,,014.36 Raw,
,,,014.4 Scallops,,
,,,,014.40 Oven,
,,,,014.41 Stovetop,
,,,,014.42 Grill,
,,,,014.43 Pressure Cook,
,,,,014.44 Slow Cooker,
,,,,014.45 Sous Vide,
,,,,014.46 Raw,
,,,014.5 Mussels,,
,,,,014.50 Oven,
,,,,014.51 Stovetop,
,,,,014.52 Grill,
,,,,014.53 Pressure Cook,
,,,,014.54 Slow Cooker,
,,,,014.55 Sous Vide,
,,,,014.56 Raw,
,,015 Plant Protein,,,
,,,015.0 Tofu,,
,,,,015.00 Oven,
,,,,015.01 Stovetop,
,,,,015.02 Grill,
,,,,015.03 Pressure Cook,
,,,,015.04 Slow Cooker,
,,,,015.05 Sous Vide,
,,,,015.06 Raw,
,,,015.1 Seitan,,
,,,,015.10 Oven,
,,,,015.11 Stovetop,
,,,,015.12 Grill,
,,,,015.13 Pressure Cook,
,,,,015.14 Slow Cooker,
,,,,015.15 Sous Vide,
,,,,015.16 Raw,
,,,015.2 Tempeh,,
,,,,015.20 Oven,
,,,,015.21 Stovetop,
,,,,015.22 Grill,
,,,,015.23 Pressure Cook,
,,,,015.24 Slow Cooker,
,,,,015.25 Sous Vide,
,,,,015.26 Raw,
,,,"015.3 Legumes (Chickpeas, Lentils, etc)",,
,,,,015.30 Oven,
,,,,015.31 Stovetop,
,,,,015.32 Grill,
,,,,015.33 Pressure Cook,
,,,,015.34 Slow Cooker,
,,,,015.35 Sous Vide,
,,,,015.36 Raw,
,,,015.4 Whole Grains (ex. Quinoa),,
,,,,015.40 Oven,
,,,,015.41 Stovetop,
,,,,015.42 Grill,
,,,,015.43 Pressure Cook,
,,,,015.44 Slow Cooker,
,,,,015.45 Sous Vide,
,,,,015.46 Raw,
,,016 Vegetables,,,
,02 Caribbean,,,,
,,020 Chicken,,,
,,,020.0 Breast,,
,,,,020.00 Oven,
,,,,020.01 Stovetop,
,,,,020.02 Grill,
,,,,020.03 Pressure Cook,
,,,,020.04 Slow Cooker,
,,,,020.05 Sous Vide,
,,,020.1 Thigh,,
,,,,020.00 Oven,
,,,,020.01 Stovetop,
